id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_user,Can add Пользователь
22,6,change_user,Can change Пользователь
23,6,delete_user,Can delete Пользователь
24,6,view_user,Can view Пользователь
25,7,add_department,Can add Кафедра
26,7,change_department,Can change Кафедра
27,7,delete_department,Can delete Кафедра
28,7,view_department,Can view Кафедра
29,8,add_activitylog,Can add Журнал активности
30,8,change_activitylog,Can change Журнал активности
31,8,delete_activitylog,Can delete Журнал активности
32,8,view_activitylog,Can view Журнал активности
33,9,add_deleterequest,Can add Запрос на удаление
34,9,change_deleterequest,Can change Запрос на удаление
35,9,delete_deleterequest,Can delete Запрос на удаление
36,9,view_deleterequest,Can view Запрос на удаление
37,10,add_publication,Can add Запись
38,10,change_publication,Can change Запись
39,10,delete_publication,Can delete Запись
40,10,view_publication,Can view Запись
41,11,add_publisher,Can add Издательство
42,11,change_publisher,Can change Издательство
43,11,delete_publisher,Can delete Издательство
44,11,view_publisher,Can view Издательство
